NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Hermanos Villarubia Forja Artistica;hoteles;Ermita, 1 45215 El Viso de San Juan, Spain;4014269;-392080;;;925 55 95 54;;;;
Escalcen s.l.;hoteles;,  45213 Las Ventas de la Retamosa, Spain;4012685;-394817;;;677 42 27 01;;;;
Ayuntamiento de El Viso de San Juan;hoteles;,  45215 Viso De San Juan ( El ), Spain;4014234;-392110;;http://elvisodesanjuan.es/;925 55 96 48;Monday: 9:00?AM?–?1:00?PM | Tuesday: 9:00?AM?–?1:00?PM | Wednesday: 9:00?AM?–?1:00?PM, 4:00?–?7:00?PM | Thursday: 9:00?AM?–?1:00?PM | Friday: 9:00?AM?–?1:00?PM | Saturday: Closed | Sunday: Closed;;;
Nova Dent El Viso;hoteles;Calle Caño, 2 45215 El Viso de San Juan, Spain;4014293;-392080;;;608 61 09 37;Monday: 9:30?AM?–?1:00?PM, 4:00?–?8:00?PM | Tuesday: 9:30?AM?–?1:00?PM, 4:00?–?8:00?PM | Wednesday: 9:30?AM?–?1:00?PM, 4:00?–?8:00?PM | Thursday: 9:30?AM?–?1:00?PM, 4:00?–?8:00?PM | Friday: 9:30?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Centro de Educación Infantil Fernando de Alarcón;hoteles;Calle del Camino de Illescas, 2 45215 Viso de San Juan (El), Spain;4014379;-391962;;;925 55 93 62;;;;
Tritono Servicios Musicales;hoteles;Calle los Claveles, 8 45213 Palomeque, Spain;4013501;-397452;;;925 53 81 28;Monday: 9:00?AM?–?9:00?PM | Tuesday: 9:00?AM?–?9:00?PM | Wednesday: 9:00?AM?–?9:00?PM | Thursday: 9:00?AM?–?9:00?PM | Friday: 9:00?AM?–?9:00?PM | Saturday: Closed | Sunday: 9:00?AM?–?9:00?PM;;;
Eurocaja Rural;hoteles;Calle Arenal, 1 45215 El Viso de San Juan, Spain;4014250;-392015;;http://eurocajarural.es/;925 55 92 21;Monday: 8:30?AM?–?2:00?PM | Tuesday: 8:30?AM?–?2:00?PM | Wednesday: 8:30?AM?–?2:00?PM | Thursday: 8:30?AM?–?2:00?PM | Friday: 8:30?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Casa Cultural De El Viso De San Juan;hoteles;Cuesta Higueras, 5 45215 El Viso de San Juan, Spain;4014235;-392041;;http://elvisodesanjuan.es/;925 55 96 48;;;;
Carpintería Gómez e Hijos;hoteles;,  45215 El Viso de San Juan, Spain;4014373;-391964;;;925 55 95 34;Monday: 9:00?AM?–?2:00?PM, 3:30?–?7:30?PM | Tuesday: 9:00?AM?–?2:00?PM, 3:30?–?7:30?PM | Wednesday: 9:00?AM?–?2:00?PM, 3:30?–?7:30?PM | Thursday: 9:00?AM?–?2:00?PM, 3:30?–?7:30?PM | Friday: 9:00?AM?–?2:00?PM, 3:30?–?7:30?PM | Saturday: Closed | Sunday: Closed;;;
Biblioteca Pública Municipal de El Viso de San Juan.;hoteles;Cuesta Higueras,  45215 El Viso de San Juan, Spain;4014256;-392004;;https://www.facebook.com/bibliotecavisodesanjuan?locale=es_ES;925 50 20 01;Monday: 8:00?AM?–?2:30?PM | Tuesday: 8:00?AM?–?2:30?PM | Wednesday: 8:00?AM?–?2:30?PM | Thursday: 8:00?AM?–?2:30?PM | Friday: 8:00?AM?–?2:30?PM | Saturday: Closed | Sunday: Closed;;;
Caja Rural;hoteles;Carretera Cedillo, 2 45215 El Viso de San Juan, Spain;4014251;-392006;;;925 55 92 21;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Mudanzas Madrid Poltrans 2000;hoteles;Calle Huelva, 23 45215 El Viso de San Juan, Spain;4013925;-392137;;;916 08 43 50;Monday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Tuesday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Wednesday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Thursday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Friday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Saturday: 9:00?AM?–?2:00?PM | Sunday: Closed;;;
Public School Miguel Delibes;hoteles;Federico Martin Bahamontes, s/n 45215 El Viso de San Juan, Spain;4013351;-392619;;;680 22 14 80;;;;
