PLACE_ID;NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
ChIJE3X0ZwAnQg0RoEgayZc7cio;Chiboloyork;Hoteles,motel;Alojamiento;C. Mirasierra, Usera, 28026 Madrid, Spain;0;0;;Abierto;4,03903E+16;-37081997;;;;;FALSO;FALSO
ChIJB1rCn0smQg0RM0ywY-_8xWs;Hotel Madrid Río;Hoteles,hotel;Alojamiento;Calle de Antonio López, 168, Usera, 28026 Madrid, Spain;3,5;2223;;Abierto;403886679;-3,7004E+16;;https://www.hotelmadridrio.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];914 76 32 11;FALSO;FALSO
ChIJqQWJVLMnQg0RXoDUaKQz4Us;Hostel Space Capsule;Hoteles,hotel;Alojamiento;C. del Olvido, 8, Usera, 28026 Madrid, Spain;3,5;69;;Abierto;40387164;-3,70305E+16;;http://hostel-space-capsule-madrid.com.es/;;638 41 09 88;FALSO;FALSO
ChIJ4UbcMbMnQg0RE6kpSwdGkes;Hostal Usera;Hoteles,;Alojamiento;C. de la Pilarica, 26, Usera, 28026 Madrid, Spain;4,3;55;;Abierto;40385548;-3,70334E+16;;https://www.hostalusera.com/;['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM'];;FALSO;FALSO
ChIJw1tn2oMnQg0Rh7K5Ym25qzg;Justine Apartments: apartamentos turísticos en Madrid Río;Hoteles,;Alojamiento;Calle de los Monederos, 15, Planta 0, Usera, 28026 Madrid, Spain;4,8;34;;Abierto;403882724;-3,70188E+16;;https://www.justineapartments.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];911 38 51 63;FALSO;VERDADERO
ChIJXUuIYEsmQg0R5YM5gMV_GEo;Iglesia Internacional del Evangelio Cuadrangular;Hoteles,hotel;Alojamiento;Calle de Antonio López, 1, Usera, 28026 Madrid, Spain;4,8;21;;Abierto;4,03887E+16;-37003621;;;;914 76 32 11;FALSO;FALSO
ChIJ-yHDWQAnQg0RYN6ibkAeiHA;Trees Coliving Matadero;Hoteles,private_guest_room;Alojamiento;C. Nicolás Godoy, 15, Usera, 28026 Madrid, Spain;4,7;13;;Abierto;4,03864E+16;-36997286;;https://www.treescoliving.com/madrid-matadero;;;FALSO;FALSO
ChIJxYgjAAAnQg0RudZBk3P1D1o;????;Hoteles,bed_and_breakfast;Alojamiento;Calle de Antonio López, Usera, 28026 Madrid, Spain;0;0;;Abierto;403895049;-37010463;;;;;FALSO;FALSO
ChIJZUI1NAAnQg0RrZu0rR16QbI;Xandra Casa;Hoteles,private_guest_room;Alojamiento;C. Matilde Gayo, 19, Usera, 28026 Madrid, Spain;0;0;;Abierto;403889029;-3,70383E+16;;;;;FALSO;FALSO
ChIJvSUJSQAnQg0RgOC7FinncYQ;Rooms Madrid Río;Hoteles,hostel;Alojamiento;Calle de Antonio López, 151, Usera, 28026 Madrid, Spain;3,3;3;;Abierto;403874207;-3,69818E+16;;;;;FALSO;FALSO
ChIJv27uagAnQg0Rg7BxBKgUN60;Apartamentos Manzanares (Madrid Rio);Hoteles,hotel;Alojamiento;Av del Manzanares, 214, Usera, 28026 Madrid, Spain;0;0;;Abierto;403901062;-36996176;;;;;FALSO;FALSO
ChIJS1LKvEUmQg0Rkxw-rpSOC-E;Mars Suites Zapata;Hoteles,guest_house;Alojamiento;C. José Antonio Zapata, 8, Arganzuela, 28045 Madrid, Spain;1,9;11;;Abierto;40385909;-3691256;;;;613 46 86 28;FALSO;FALSO
ChIJXdgM3nInQg0RrOscwFLsT-E;APARTAMENTOS BRONCE;Hoteles,;Alojamiento;C. del Bronce, 9, Arganzuela, 28045 Madrid, Spain;5;1;;Abierto;4,03899E+16;-3,6876E+16;;http://www.apartamentosbronce.com/;;;FALSO;FALSO
ChIJaWiR4Z0vQg0Rfy7i_9ZT4dk;Meet Room Hotel;Hoteles,hotel;Alojamiento;C. Cerro de la Alcazaba, 4, local 1, Puente de Vallecas, 28053 Madrid, Spain;4,5;69;;Abierto;403852;-3,67122E+16;;https://instagram.com/meethlg?igshid=ZDdkNTZiNTM=;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];625 93 19 40;FALSO;FALSO
ChIJa-uSOAAnQg0RNODywWyPlzo;Piso;Hoteles,private_guest_room;Alojamiento;C. de Concejo de Teverga, 13, 1a, Puente de Vallecas, 28053 Madrid, Spain;0;0;;Abierto;403856301;-3,67254E+16;;;;;FALSO;FALSO
ChIJfZn9ZgAnQg0RlPhb-WqYTZM;Rooms laborde;Hoteles,hotel;Alojamiento;Puente de Vallecas, 28053 Madrid, Spain;0;0;;Abierto;403869914;-3,66952E+16;;http://rooms-laborde-madrid.com.es/;;;FALSO;FALSO
ChIJUaXFM2UnQg0RiavDqcWmxfo;loft cerca centro Madrid;Hoteles,;Alojamiento;C. de la Cordillera de Cuera, 23, Puente de Vallecas, 28053 Madrid, Spain;5;1;;Abierto;4038754;-36688714;;;;696 23 28 03;FALSO;FALSO
ChIJGx14TAAnQg0RvbXT1-KTnCo;Casa Begoña;Hoteles,bed_and_breakfast;Alojamiento;C. de Carlos Martín Álvarez, 31, Puente de Vallecas, 28018 Madrid, Spain;4,4;5;;Abierto;4,03895E+16;-3,66249E+16;;http://la-casa-de-begona-madrid.com.es/;;;FALSO;FALSO
