NOMBRE_TUI,CATEGORIA_TUI,TIPOS_TUI,DIRECCION_TUI,WEBSITE,TELEFONO,HORARIO,RATING_TUI,TOTAL_VALORACIONES_TUI,GOOGLE_MAPS_URL,ESTADO_NEGOCIO,NIVEL_PRECIO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS,DESCRIPCION_TUI,LATITUD_TUI,LONGITUD_TUI
Discoteca New One Madrid,discotecas,"night_club, point_of_interest, establishment","Calle de los Hermanos García Noblejas, 11 28037 Madrid, Spain",,610 73 97 05,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 12:00 – 6:00 AM | Friday: 12:00 – 6:00 AM | Saturday: 12:00 – 6:00 AM | Sunday: 12:00 – 6:00 AM,3.3,288,https://maps.google.com/?cid=15339118196526000636,OPERATIONAL,1,True,True,"Thursday–Sunday nightspot attracting a young, festive crowd for dance parties with various themes.",40.4371,-3.63709
VIEJOTECA PALO È MANGO,discotecas,"night_club, point_of_interest, establishment","Calle de Caunedo, 7 28037 Madrid, Spain",https://palodemango.es/,659 12 59 09,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 11:00 PM – 6:00 AM | Saturday: 11:00 PM – 6:00 AM | Sunday: 7:00 PM – 6:00 AM,3.9,181,https://maps.google.com/?cid=5282820317309453705,OPERATIONAL,2,True,False,,40.43711,-3.6365
Crijo,discotecas,"night_club, bar, point_of_interest, establishment","Calle de Ricardo Ortiz, 48 28017 Madrid, Spain",,913 55 11 30,,4.1,32,https://maps.google.com/?cid=10996368205463816485,OPERATIONAL,1,False,False,,40.42579,-3.65813
Silikona,discotecas,"night_club, point_of_interest, establishment","Plaza del Encuentro, 1 28030 Madrid, Spain",http://www.silikona.es/,650 82 93 22,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 11:59 PM – 5:00 AM | Friday: 8:00 PM – 6:00 AM | Saturday: 8:00 PM – 6:00 AM | Sunday: 11:59 PM – 5:00 AM,3.5,1327,https://maps.google.com/?cid=14918186387476550789,OPERATIONAL,2,False,False,,40.40587,-3.6523
Scalas,discotecas,"night_club, bar, point_of_interest, store, establishment","Avenida de Moratalaz, 181 28030 Madrid, Spain",https://m.facebook.com/scalasmoratalaz/,635 10 41 51,Monday: 11:00 PM – 3:00 AM | Tuesday: 11:00 PM – 3:00 AM | Wednesday: 11:00 PM – 3:00 AM | Thursday: 11:00 PM – 3:00 AM | Friday: 11:00 PM – 4:00 AM | Saturday: 11:00 PM – 4:00 AM | Sunday: 11:00 PM – 3:00 AM,3.9,240,https://maps.google.com/?cid=11363224660835905437,OPERATIONAL,,True,False,,40.40779,-3.64691
Bar La Plaza,discotecas,"night_club, bar, restaurant, food, point_of_interest, establishment","Calle de Torrelaguna, 7 28027 Madrid, Spain",,914 04 69 20,Monday: Closed | Tuesday: Closed | Wednesday: 10:00 AM – 12:00 AM | Thursday: 10:00 AM – 12:00 AM | Friday: 10:00 AM – 1:00 AM | Saturday: 10:00 AM – 1:00 AM | Sunday: 10:00 AM – 12:00 AM,4.4,396,https://maps.google.com/?cid=2406715300794624561,OPERATIONAL,1,True,True,,40.44079,-3.65053
Essenttial concept,discotecas,"night_club, bar, point_of_interest, establishment","Calle de Luis Ruiz, 82 28017 Madrid, Spain",http://www.essenttialconcept.es/,0543629,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: Closed,,,https://maps.google.com/?cid=5182450832662843548,OPERATIONAL,,False,False,,40.42524,-3.63461
El Canape,discotecas,"night_club, bar, point_of_interest, establishment","Calle del Corregidor José de Pasamonte, 33 28030 Madrid, Spain",,,,4.3,17,https://maps.google.com/?cid=14607140821317441142,CLOSED_TEMPORARILY,1,False,False,,40.41143,-3.64699
Whiskeria 35,discotecas,"night_club, point_of_interest, establishment","Calle de Ezequiel Solana, 75 28017 Madrid, Spain",,911 63 35 84,Monday: 9:00 PM – 4:00 AM | Tuesday: 9:00 PM – 4:00 AM | Wednesday: 9:00 PM – 4:00 AM | Thursday: 9:00 PM – 4:00 AM | Friday: 9:00 PM – 4:00 AM | Saturday: 9:00 PM – 4:00 AM | Sunday: Closed,3.5,4,https://maps.google.com/?cid=7308577272778609512,OPERATIONAL,,False,False,,40.42833,-3.64287
No,discotecas,"night_club, point_of_interest, establishment","Calle de Luis Ruiz, 75 28017 Madrid, Spain",,602 42 20 92,Monday: 10:00 PM – 3:30 AM | Tuesday: 10:00 PM – 3:30 AM | Wednesday: 10:00 PM – 3:30 AM | Thursday: 10:00 PM – 3:30 AM | Friday: 11:00 PM – 6:00 AM | Saturday: 11:00 PM – 6:00 AM | Sunday: 10:00 PM – 3:30 AM,4.5,37,https://maps.google.com/?cid=6786989746976780009,OPERATIONAL,,True,False,,40.42815,-3.63565
Discoteca Farándula Madrid,discotecas,"night_club, point_of_interest, establishment","Calle de María Teresa Sáenz de Heredia, 44 28017 Madrid, Spain",,608 50 48 63,Monday: 10:30 PM – 6:00 AM | Tuesday: 10:30 PM – 6:00 AM | Wednesday: 10:30 PM – 6:00 AM | Thursday: 10:30 PM – 6:00 AM | Friday: 10:30 PM – 6:00 AM | Saturday: 10:30 PM – 6:00 AM | Sunday: 10:30 PM – 6:00 AM,4.0,84,https://maps.google.com/?cid=127780901029037395,OPERATIONAL,,True,False,,40.42566,-3.65077
El Plan B,discotecas,"night_club, bar, point_of_interest, establishment","Avenida de Moratalaz, 155 28030 Madrid, Spain",https://www.privateaser.es/local/3646-elplanb,650 79 60 01,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 9:00 PM – 3:00 AM | Friday: 10:00 PM – 3:30 AM | Saturday: 10:00 PM – 3:30 AM | Sunday: Closed,4.3,999,https://maps.google.com/?cid=13582584731175593716,OPERATIONAL,1,True,False,,40.40771,-3.64712
AMBIS DISCO,discotecas,"night_club, point_of_interest, establishment","Calle de Vital Aza, 41 28017 Madrid, Spain",,,Monday: 11:00 PM – 6:00 AM | Tuesday: 11:00 PM – 6:00 AM | Wednesday: 11:00 PM – 6:00 AM | Thursday: 11:00 PM – 6:00 AM | Friday: 11:00 PM – 6:00 AM | Saturday: 11:00 PM – 6:00 AM | Sunday: 11:00 PM – 6:00 AM,4.1,272,https://maps.google.com/?cid=4631315612644117525,OPERATIONAL,1,True,False,,40.43202,-3.6424
Perea,discotecas,"bar, night_club, restaurant, food, point_of_interest, establishment","Calle del Camino de los Vinateros, 148 28030 Madrid, Spain",,914 30 06 12,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 7:00 AM – 12:00 AM,4.1,199,https://maps.google.com/?cid=11867464852620964655,OPERATIONAL,1,True,False,,40.40609,-3.64512
HAWAII DISCO,discotecas,"night_club, point_of_interest, establishment","Calle de Gerardo Cordón, 15 28017 Madrid, Spain",,,Monday: Closed | Tuesday: Closed | Wednesday: 10:00 PM – 12:00 AM | Thursday: 10:00 PM – 4:00 AM | Friday: 10:00 PM – 4:00 AM | Saturday: 10:00 PM – 4:00 AM | Sunday: 10:00 PM – 4:00 AM,,,https://maps.google.com/?cid=5014008225383804818,OPERATIONAL,,False,False,,40.42581,-3.65538
